Bacterial Blight (CBB),Brown Streak Disease (CBSD),Green Mottle (CGM),Mosaic Disease (CMD),Healthy,accuracy,macro avg,weighted avg
0.8888888888888888,1.0,1.0,0.8,1.0,0.925,0.9377777777777778,0.9377777777777778
1.0,1.0,0.75,1.0,0.875,0.925,0.925,0.925
0.9411764705882353,1.0,0.8571428571428571,0.888888888888889,0.9333333333333333,0.925,0.9241083099906628,0.9241083099906628
8.0,8.0,8.0,8.0,8.0,0.925,40.0,40.0
